"image","name","type"
"https://www.google.com/s2/favicons?domain=fahasa.com","fahasa.com","Đời sống"
"https://www.google.com/s2/favicons?domain=sapo.vn","sapo.vn","TMDT"
"https://www.google.com/s2/favicons?domain=mehoathinh.com","mehoathinh.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=hanime.tv","hanime.tv","Người lớn"
"https://www.google.com/s2/favicons?domain=tainhac123.com","tainhac123.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=violet.vn","violet.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=fpt.edu.vn","fpt.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=wattpad.vn","wattpad.vn","Giải Trí"
"https://www.google.com/s2/favicons?domain=vpbank.com.vn","vpbank.com.vn","Tài chính"
"https://www.google.com/s2/favicons?domain=hasaki.vn","hasaki.vn","Đời sống"
"https://www.google.com/s2/favicons?domain=xosoketqua.com","xosoketqua.com",""
"https://www.google.com/s2/favicons?domain=moneygame.pro","moneygame.pro","Tài chính"
"https://www.google.com/s2/favicons?domain=yuthanhthien.com","yuthanhthien.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=90phut.net","90phut.net",""
"https://www.google.com/s2/favicons?domain=ok.xxx","ok.xxx","Người lớn"
"https://www.google.com/s2/favicons?domain=vietlott.vn","vietlott.vn","Social Casino"
"https://www.google.com/s2/favicons?domain=xemlicham.com","xemlicham.com","Tin tức"
"https://www.google.com/s2/favicons?domain=baidu.com","baidu.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=kiotviet.vn","kiotviet.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=luathoangphi.vn","luathoangphi.vn","Chính phủ"
"https://www.google.com/s2/favicons?domain=donmai.us","donmai.us","Người lớn"
"https://www.google.com/s2/favicons?domain=ueh.edu.vn","ueh.edu.vn","Khoa học"
"https://www.google.com/s2/favicons?domain=sexnhatban.xyz","sexnhatban.xyz",""
"https://www.google.com/s2/favicons?domain=steampowered.com","steampowered.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=www.yan.vn","www.yan.vn",""
"https://www.google.com/s2/favicons?domain=1688.com","1688.com","TMDT"
"https://www.google.com/s2/favicons?domain=sentayho.com.vn","sentayho.com.vn","Thực phẩm"
"https://www.google.com/s2/favicons?domain=lmhmod.com","lmhmod.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=tainhacmienphi.biz","tainhacmienphi.biz","Giải Trí"
"https://www.google.com/s2/favicons?domain=freepik.com","freepik.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=etsy.com","etsy.com","TMDT"
"https://www.google.com/s2/favicons?domain=phimbo.vn2.vn","phimbo.vn2.vn",""
"https://www.google.com/s2/favicons?domain=baogiaothong.vn","baogiaothong.vn","Tin tức"
"https://www.google.com/s2/favicons?domain=trello.com","trello.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=motphimtv.com","motphimtv.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=hoanghapc.vn","hoanghapc.vn","Công nghệ"
"https://www.google.com/s2/favicons?domain=nhattruyenvip.com","nhattruyenvip.com",""
"https://www.google.com/s2/favicons?domain=ocio.nih.gov","ocio.nih.gov",""
"https://www.google.com/s2/favicons?domain=9gag.com","9gag.com","Giải Trí"
"https://www.google.com/s2/favicons?domain=kynguyenso.plo.vn","kynguyenso.plo.vn",""
"https://www.google.com/s2/favicons?domain=itviec.com","itviec.com","Công nghệ"
"https://www.google.com/s2/favicons?domain=vebo.live","vebo.live",""
"https://www.google.com/s2/favicons?domain=giaxeoto.vn","giaxeoto.vn","Xe cộ"
"https://www.google.com/s2/favicons?domain=games.msn.com","games.msn.com","Trò chơi"
"https://www.google.com/s2/favicons?domain=br.msn.com","br.msn.com",""
"https://www.google.com/s2/favicons?domain=pharmacity.vn","pharmacity.vn","Sức khỏe"
"https://www.google.com/s2/favicons?domain=autopro.com.vn","autopro.com.vn","Xe cộ"
"https://www.google.com/s2/favicons?domain=xnxxvn.org","xnxxvn.org",""
"https://www.google.com/s2/favicons?domain=bambooairways.com","bambooairways.com","Du lịch"
"https://www.google.com/s2/favicons?domain=tdu.edu.vn","tdu.edu.vn","Khoa học"